,name,hometown,high school?,sport,college
189,AJ Vasquez,"Mira Loma, Calif.",Eleanor Roosevelt HS,mens soccer,ucla
190,Cody Sundquist,"Granite Bay, Calif.",Granite Bay HS,mens soccer,ucla
191,Alexis Triadis,"Frankfurt, Germany",Hartford,mens soccer,ucla
192,Tobi Henneke,"Munich, Germany",Theodolinden-Gymnasium,mens soccer,ucla
193,Frankie Amaya,"Santa Ana, Calif.",Pateadores Academy,mens soccer,ucla
194,Joab Santoyo,"Fontana, Calif.",A.B. Miller HS,mens soccer,ucla
195,Carlos Rincon,"Los Angeles, Calif.",Santa Monica College,mens soccer,ucla
196,Matthew Powell,"Castro Valley, Calif.",Bishop O'Dowd HS,mens soccer,ucla
197,Cole Martinez,"Dana Point, Calif.",San Clemente HS,mens soccer,ucla
198,Cameron Douglas,"Granite Bay, Calif.",Granite Bay HS,mens soccer,ucla
199,Aristides Costeas,"Nicosia, Cyprus",St. John's,mens soccer,ucla
200,Lauren Brzykcy,"San Clemente, Calif.",San Clemente,womens soccer,ucla
201,Ashley Sanchez,"Monrovia, Calif.",Mountain Park,womens soccer,ucla
202,Chloe Castaneda,"Encino, Calif.",Harvard-Westlake,womens soccer,ucla
203,Taylor Magliarditi,"Newport Beach, Calif.",Sage Hill,womens soccer,ucla
204,Kaiya McCullough,"Mission Viejo, Calif.",El Toro,womens soccer,ucla
205,Kennedy Faulknor,"Markham, Ont., Canada",Bill Crothers Secondary School,womens soccer,ucla
206,Anika Rodriguez,"Torrance, Calif.",Torrance,womens soccer,ucla
207,Karina Rodriguez,"Torrance, Calif.",Torrance,womens soccer,ucla
208,Shana Flynn,"Brampton, Ont., Canada",Mayfield Secondary School,womens soccer,ucla
209,Julia Hernandez,"Madrid, Spain",Trinity College,womens soccer,ucla
210,Issy Bellinghausen,"Laguna Niguel, Calif.",San Juan Hills,womens soccer,ucla
211,Sunny Dunphy,"Carlsbad, Calif.",Cathedral Catholic,womens soccer,ucla
212,Viviana  Villacorta,"Lawndale, Calif.",Mira Costa,womens soccer,ucla
213,Olivia Athens,"Atherton, Calif.",Menlo-Atherton,womens soccer,ucla
214,Olivia de Moraes,"Rancho Palos Verdes, Calif.",Palos Verdes,womens soccer,ucla
215,Hailie Mace,"Ventura, Calif.",Buena,womens soccer,ucla
216,Delanie Sheehan,"Brentwood, Calif.",Liberty,womens soccer,ucla
217,Maddi Desiano,"San Clemente, Calif.",Aliso Niguel,womens soccer,ucla
218,Jacey Pederson,"Palo Alto, Calif.",Palo Alto,womens soccer,ucla
219,Teagan Micah,"Redcliffe, QLD, Australia",Redcliffe State,womens soccer,ucla
220,Jessie Fleming,"London, ON, Canada",H.B. Beal Secondary School,womens soccer,ucla
221,Dani Satterwhite,"San Juan Capistrano, Calif.",San Juan Hills,womens soccer,ucla
222,Marley Canales,"San Diego, Calif.",Westview,womens soccer,ucla
223,Maricarmen Reyes,"Santa Ana, Calif.",Segerstrom,womens soccer,ucla
224,Cassidy Tshimbalanga,"Alamo, Calif.",Carondelet,womens soccer,ucla
225,Meghan Scudero,"San Jose, Calif.",Leland,womens soccer,ucla
226,Hannah Sharts,"Newbury Park, Calif.",Westlake,womens soccer,ucla
227,Maki Umehara,"Chiba, Japan",Shibuya Makuhari,womens soccer,ucla
228,Emily Weintraub,"Seattle, Wash.",University Preparatory Academy,womens soccer,ucla
229,Idalia Serrano,"Mendota, Calif.",Mendota,womens soccer,ucla
230,Artin Allahverdian,"La Crescenta, Calif.",Crescenta Valley HS,mens cross country,ucla
231,Carter Blunt,"McKinney, Texas",Independence,mens cross country,ucla
232,Robert Brandt,"Pasadena, Calif.",Loyola,mens cross country,ucla
233,Colin Burke,"Pleasanton, Calif.",Bishop O'Dowd,mens cross country,ucla
234,Jett Charvet,"Brentwood, Calif.",Heritage HS,mens cross country,ucla
235,Andy Ehrenberg,"Corte Madera, Calif.",Redwood,mens cross country,ucla
236,George Gleason,"Huntington Beach, Calif.",Huntington Beach,mens cross country,ucla
237,Tyler Janes,"Riverside, Calif.",King,mens cross country,ucla
238,Munir Kabbara,"San Rafael, Calif.",San Rafael HS,mens cross country,ucla
239,Riley Kelly,"Brisbane, Australia",St. Joseph's College,mens cross country,ucla
240,DJ Lawson,"Visalia, Calif.",Redwood HS,mens cross country,ucla
241,Chris Morzenti,"Dunsmuir, Calif.",Mt. Shasta,mens cross country,ucla
242,Garrett Reynolds,"Ventura, Calif.",Ventura,mens cross country,ucla
243,Darius Riley,"Rancho Cucamonga, Calif.",Rancho Cucamonga HS,mens cross country,ucla
244,Cole Smith,"Goleta, Calif.",Dos Pueblos,mens cross country,ucla
245,Scott Snow,"Woking, England",Carlsbad,mens cross country,ucla
246,Arturo Sotomayor,"Roseville, Calif.",Roseville,mens cross country,ucla
247,Millen Trujillo,"Walnut, Calif.",Walnut,mens cross country,ucla
248,Erika Adler,"Irvine, Calif.",Northwood,womens cross country,ucla
249,Alyssa Bautista,"San Clemente, Calif.",Capistrano Valley HS,womens cross country,ucla
250,Kelly Bernd,"Del Mar, Calif.",Canyon Crest Academy,womens cross country,ucla
251,Paige Carter,"Carlsbad, Calif.",San Marcos,womens cross country,ucla
252,Cassandra Durgy,"Huntington Beach, Calif.",Huntington Beach,womens cross country,ucla
253,Jackie Garner,"San Diego, Calif.",Torrey Pines,womens cross country,ucla
254,Gwyneth George,"Laguna Hills, Calif.",Santa Margarita Catholic HS,womens cross country,ucla
255,Jacquelyn  Hill,"Fontana, Calif.",Etiwanda,womens cross country,ucla
256,Kira  Loren,"San Diego, Calif.",Canyon Crest Academy,womens cross country,ucla
257,Claire Markey,"Chelmsford, Mass.",Chelmsford,womens cross country,ucla
258,Grace McAuley,"La Canada, Calif.",Crescenta Valley,womens cross country,ucla
259,Kennedy Meyer,"Long Beach, Calif.",Wilson,womens cross country,ucla
260,Madison Moore,"Bradley, Calif.",Paso Robles,womens cross country,ucla
261,Christina Rice,"Santa Barbara, Calif.",Dos Pueblos,womens cross country,ucla
262,Carlyn Schmidgall,"Issaquah, Wash.",Liberty,womens cross country,ucla
263,Lilly Schmidt,"Newport Beach, Calif.",Corona Del Mar,womens cross country,ucla
264,Sophie Scott,"Leawood, Kan.",Blue Valley North HS,womens cross country,ucla
265,Taylor Taite,"Murrieta, Calif.",Murrieta Mesa,womens cross country,ucla
266,Marisa Villegas,"Hollister, Calif.",San Benito,womens cross country,ucla
267,Annabelle Werner,"Murrieta, Calif.",Vista Murrieta HS,womens cross country,ucla
268,Lexi Wright,"Highland Park, Utah",American Fork HS,womens cross country,ucla
269,Ahmed Ali,"Palo Alto, Calif.",Palo Alto HS,mens golf,ucla
270,Devon Bling,"Ridgecrest, Calif.",Sherman E. Burroughs HS,mens golf,ucla
271,Phil Delisi,"Honolulu, Hawai'i",Yokota HS (Japan),mens golf,ucla
272,Rory Feng,"Beijing, China",Renmin University of China,mens golf,ucla
273,Jack Ireland,"Mission Viejo, Calif.",Tesoro HS,mens golf,ucla
274,Eddy Lai,"San Jose, Calif.",Bellarmine College Prep,mens golf,ucla
275,Cole Madey,"West Linn, Ore.",Lake Oswego HS,mens golf,ucla
276,Harrison Mahon,"Plano, Texas",Rancho Bernardo HS,mens golf,ucla
277,Sean Maruyama,"Encino, Calif.",Campbell Hall School,mens golf,ucla
278,Patrick Murphy,"Crossfield, Alberta, Canada",W.G. Murdoch School,mens golf,ucla
279,Bryan Wiyang Teoh,"Jupiter, Fla.",Jupiter Christian School,mens golf,ucla
280,Hidetoshi Yoshihara,"Irvine, Calif.",Woodbridge HS,mens golf,ucla
281,Mariel Galdiano,"Pearl City, Hawai'i",Punahou School,womens golf,ucla
282,Clare Legaspi,"Quezon City, Philippines","St. Paul College, Pasig",womens golf,ucla
283,Vera Markevich,"Moscow, Russia",Xavier College Preparatory HS,womens golf,ucla
284,Patty Tavatanakit,"Bangkok, Thailand",Keerapat International School,womens golf,ucla
285,Lilia Vu,"Fountain Valley, Calif.",Fountain Valley HS,womens golf,ucla
286,Beth Wu,"Diamond Bar, Calif.",Diamond Bar HS,womens golf,ucla
287,Phoebe Yue,"West Vancouver, British Columbia, Canada",Collingwood School,womens golf,ucla
288,Lucy Agnew,"Auckland, New Zealand",Jumeirah College,womens swimming,ucla
289,Gabrielle Anderson,"Los Altos, Calif.",Los Altos HS,womens swimming,ucla
290,Olivia Andrew,"Chicago, Ill.",Loyola Academy,womens swimming,ucla
291,Isabella Barattolo,"Alamo, Calif.",Monte Vista HS,womens swimming,ucla
292,Jackie Basham,"Monrovia, Calif.",Glendora HS,womens swimming,ucla
293,Eloise Belanger,"Montreal, QC, Canada",Ecole Secondaire Antoine-de-Saint-Exupery,womens swimming,ucla
294,Emma Cain,"Scottsdale, Ariz.",Millfield School,womens swimming,ucla
295,Sophia Cavalli,"Moraga, Calif.",Campolindo HS,womens swimming,ucla
296,Sophie Clarkowski,"Edina, Minn.",Edina HS,womens swimming,ucla
297,Faith Dunn,"Menlo Park, Calif.",Menlo-Atherton HS,womens swimming,ucla
298,Jessica Epps,"Mission Viejo, Calif.",Tesoro HS,womens swimming,ucla
299,Elena Escalas,"Nashville, Tenn.",University School of Nashville,womens swimming,ucla
300,Lia Foster,"Honolulu, Hawai'i",Punahou School,womens swimming,ucla
301,Allison Goldblatt,"Annandale, Va.",WT Woodson HS,womens swimming,ucla
302,Claire Grover,"Scottsdale, Ariz.",Boulder Creek HS,womens swimming,ucla
303,Emily Honng,"Rowland Heights, Calif.",Walnut HS,womens swimming,ucla
304,Emily House,"Tokyo, Japan",The American School in Japan,womens swimming,ucla
305,Abriana Howard,"Danville, Calif.",Monte Vista HS,womens swimming,ucla
306,Maisie Jameson,"Twickenham, LDN, England",Marymount International School London,womens swimming,ucla
307,Lisa  Kaunitz,"Santa Clara, Calif.",Lake Oswego HS,womens swimming,ucla
308,Ella Kirschke,"Lone Tree, Colo.",Valor Christian HS,womens swimming,ucla
309,Sabrina Kwok,"Hong Kong, China",Kincoppal-Rose Bay School of the Sacred Heart,womens swimming,ucla
310,Jennifer Lathrop,"El Dorado Hills, Calif.",Oak Ridge HS,womens swimming,ucla
311,Kenisha Liu,"Chino, Calif.",Ruben S. Ayala HS,womens swimming,ucla
312,Emily Lo,"Oakland, Calif.",Acalanes HS,womens swimming,ucla
313,Ruby Neave,"Melbourne, VIC, Australia",Caulfield Grammar School,womens swimming,ucla
314,Mara Newman,"Portland, Ore.",Lakeridge HS,womens swimming,ucla
315,Amy  Okada,"Beverly Hills, Calif.",Beverly Hills HS,womens swimming,ucla
316,Maria Polyakova,"Penza, Russia",Moscow Prep School,womens swimming,ucla
317,Madeline Russell,"Scottsdale, Ariz.",Notre Dame Preparatory,womens swimming,ucla
318,Emma Schaetz,"Wauwatosa, Wis.",Brookfield East HS,womens swimming,ucla
319,Emma Schanz,"Colville, Wash.",Colville Senior HS,womens swimming,ucla
320,Bonnie Schmitz,"Portola Valley, Calif.",Castilleja HS,womens swimming,ucla
321,Traci Shiver,"Chatsworth, Calif.",Cleveland HS,womens swimming,ucla
322,Emma Smethurst,"Walnut Creek, Calif.",Northgate HS,womens swimming,ucla
323,Delaney Smith,"Centennial, Colo.",Arapahoe HS,womens swimming,ucla
324,Sandra Soe,"San Jose, Calif.",Pioneer HS,womens swimming,ucla
325,Katie Sulkevich,"Covina, Calif.",Glendora HS,womens swimming,ucla
326,Veronica Thompson,"Castaic, Calif.",Santa Clarita Valley International Charter School,womens swimming,ucla
327,Erica  Vong,"Macau, China",Chan Sui Ki Perpetual Help College,womens swimming,ucla
328,Alice Yanovsky,"Santa Clarita, Calif.",Valencia HS,womens swimming,ucla
329,Lucas Bellamy,"Los Angeles, Calif.",Palisades Charter HS,mens tennis,ucla
330,Roscoe Bellamy,"Pacific Palisades, Calif.",Laurel Springs School,mens tennis,ucla
331,Maxime Cressy,"Hermosa Beach, Calif.",CNED,mens tennis,ucla
332,Ben  Goldberg,"Pacific Palisades, Calif.",Palisades HS,mens tennis,ucla
333,Eric Hahn,"Fullerton, Calif.",Sunny Hills HS,mens tennis,ucla
334,Connor Hance,"Torrance, Calif.",Palos Verdes Peninsula HS,mens tennis,ucla
335,Blaine Hovenier,"Los Angeles, Calif.",Campbell Hall,mens tennis,ucla
336,Bryce Pereira,"Arcadia, Calif.",San Marino HS,mens tennis,ucla
337,Connor Rapp,"Rancho Mirage, Calif.",Palm Desert HS,mens tennis,ucla
338,Keegan Smith,"San Diego, Calif.",Point Loma HS,mens tennis,ucla
339,Mathew Tsolakyan,"Glendale, Calif.",Laurel Springs School,mens tennis,ucla
340,Max Wild,"Murrieta, Calif.",Laurel Springs School,mens tennis,ucla
341,Evan Zhu,"Irvine, Calif.",K12 Online,mens tennis,ucla
342,Abi Altick,"Monroe, La.",K12 International Academy,womens tennis,ucla
