,name,hometown,high school,school,name text,hometown text,high school text,school text,sport,college
41,"Baker-Williams, Tyler","Raleigh, N.C.",N/A,Southeast,Full Name,Hometown,N/A,Last School,football,nc_state
42,"Dunn, Christopher","Lexington, N.C.",N/A,North Davidson,Full Name,Hometown,N/A,Last School,football,nc_state
43,"Bodine, Brady","Camp Lejeune, N.C.",N/A,Camp Lejeune,Full Name,Hometown,N/A,Last School,football,nc_state
44,"Counts, Dalton","Raleigh, N.C.",N/A,Garner,Full Name,Hometown,N/A,Last School,football,nc_state
45,"Kidd-Glass, Tim","Danville, Va.",N/A,George Washington,Full Name,Hometown,N/A,Last School,football,nc_state
46,"Dunn, Justin","Raleigh, N.C.",N/A,Sanderson,Full Name,Hometown,N/A,Last School,football,nc_state
47,"Brown, III, William","Raleigh, NC",N/A,Cardinal Gibbons,Full Name,Hometown,N/A,Last School,football,nc_state
48,"Miller, Brock","Port St. Lucie, Fla.",N/A,Carroll Catholic,Full Name,Hometown,N/A,Last School,football,nc_state
49,"Malit, Jessie","Concord, N.C.",N/A,Cox Mill,Full Name,Hometown,N/A,Last School,football,nc_state
50,"Dabbs, Will","Eden, N.C.",N/A,Morehead,Full Name,Hometown,N/A,Last School,football,nc_state
51,"Walton, Darius","Elizabeth City, N.C.",N/A,Northeastern,Full Name,Hometown,N/A,Last School,football,nc_state
52,"Moore, Isaiah","Chester, Va.",N/A,Bird,Full Name,Hometown,N/A,Last School,football,nc_state
53,"Autenrieth, Dylan","Dallas, Ga.",N/A,North Paulding,Full Name,Hometown,N/A,Last School,football,nc_state
54,"Blakeman, Danny","Raleigh, N.C.",N/A,Leesville Road,Full Name,Hometown,N/A,Last School,football,nc_state
55,"Pierson, David","Wendell, N.C.",N/A,Jireh Prep,Full Name,Hometown,N/A,Last School,football,nc_state
56,"Babros, Joe","Mission Viejo, Calif.",N/A,Mission Viejo/Saddleback,Full Name,Hometown,N/A,Last School,football,nc_state
57,"Roseboro, Darian","Lincolnton, N.C.",N/A,Lincolnton,Full Name,Hometown,N/A,Last School,football,nc_state
58,"Darden, Damien","Pikeville, N.C.",N/A,Aycock,Full Name,Hometown,N/A,Last School,football,nc_state
59,"Swackhammer, Bryce","Clayton, N.C.",N/A,Clayton,Full Name,Hometown,N/A,Last School,football,nc_state
60,"Williams, Seth","Wake Forest, N.C.",N/A,Wake Forest,Full Name,Hometown,N/A,Last School,football,nc_state
61,"Jennette, Ezekiel","Durham, N.C.",N/A,Southern Durham/Durham Tech,Full Name,Hometown,N/A,Last School,football,nc_state
