,name,hometown,high school?,sport,college
143,Tucker Robertson,"Simi Valley, Calif.",Grace Brethren,football,iowa_state
144,Connor Assalley,"Naperville, Ill.",Central,football,iowa_state
145,Ben Latusek,"Dike, Iowa",Dike-New Hartford,football,iowa_state
146,Angel Dominguez,"Kansas City, Kan.",St. Thomas Aquinas,football,iowa_state
147,Joe Rivera,"Grinnell, Iowa",Grinnell,football,iowa_state
148,Will McDonald,"Pewaukee, Wis.",Waukesha North,football,iowa_state
149,Dayja Schwichtenberg,"Medina, Minn.",Robbinsdale Cooper,womens soccer,iowa_state
150,Abigail Harbin,"Dubuque, Iowa",Hempstead,womens soccer,iowa_state
151,Emily Steil,"San Juan Capistrano, Calif.",San Juan Hills,womens soccer,iowa_state
152,Anna Frerichs,"Cedar Rapids, Iowa",Kennedy,womens soccer,iowa_state
153,Shealyn Sullivan,"New Berlin, Ill.",New Berlin,womens soccer,iowa_state
154,Brianna Curtis,"Evergreen, Colo.",Evergreen,womens soccer,iowa_state
155,Kasey Opfer,"Springfield, Mo.",Glendale,womens soccer,iowa_state
156,Marin Daniel,"Johnston, Iowa",Dowling Catholic,womens soccer,iowa_state
157,McKenna Schultz,"Timnath, Colo.",Fossil Ridge,womens soccer,iowa_state
158,Brooke Tasker,"Aurora, Colo.",Grandview,womens soccer,iowa_state
159,Merin Mundt,"Burlington, Wis.",Burlington,womens soccer,iowa_state
160,Klasey Medelberg,"St. Louis, Mo.",MICDS,womens soccer,iowa_state
161,Tavin Hays,"Henderson, Nev.",Bishop Gorman,womens soccer,iowa_state
162,Kassi Ginther,"Lee's Summit, Mo.",Summit Christian Academy,womens soccer,iowa_state
163,Courtney Powell,"La Porte City, Iowa",Union,womens soccer,iowa_state
164,Jordan Enga,"Ankeny, Iowa",Ankeny,womens soccer,iowa_state
165,Hannah Cade,"Lakeville, Minn.",Lakeville North,womens soccer,iowa_state
166,Carly Langhurst,"Cedar Rapids, Iowa",Kennedy,womens soccer,iowa_state
167,Taylor Wagner,"Overland Park, Kan.",Blue Valley Southwest,womens soccer,iowa_state
168,Riley Behan,"Davenport, Iowa",Assumption,womens soccer,iowa_state
169,Antonia Reyes,"Riverside, Calif.",Martin Luther King,womens soccer,iowa_state
170,Ricardo Banuelos,"Wichita, Kan.",Wichita North,mens cross country,iowa_state
171,Zach Black,"Sallisaw, Okla.",Sallisaw,mens cross country,iowa_state
172,Patrick Bose,"West Des Moines, Iowa",Johnston,mens cross country,iowa_state
173,Sam Clausnitzer,"Bismarck, N.D.",Bismarck,mens cross country,iowa_state
174,Dan Curts,"Ellsworth, Maine",Ellsworth,mens cross country,iowa_state
175,Greyson Dolezal,"Marion, Iowa",Linn-Mar,mens cross country,iowa_state
176,Milo Greder,"Omaha, Neb.",Omaha Westside,mens cross country,iowa_state
177,Andrew Jordan,"Pataskala, Ohio",Watkins Memorial,mens cross country,iowa_state
178,Festus Lagat,"Eldoret, Kenya",N/A,mens cross country,iowa_state
179,Stanley Langat,"Molo, Kenya",St. Joseph's Kirandich Secondary,mens cross country,iowa_state
180,Tanner Norman,"Colorado Springs, Colo.",Classical Academy,mens cross country,iowa_state
181,John Nownes,"Omaha, Neb.",Creighton Prep,mens cross country,iowa_state
182,Thomas Pollard,"Ames, Iowa",Gilbert,mens cross country,iowa_state
183,Nathan Rodriguez,"Tempe, Ariz.",Corona Del Sol,mens cross country,iowa_state
184,Karly Ackley,"Marvel, N.D.",Grand Forks Central,womens cross country,iowa_state
185,Bethanie Brown,"Waterville, Maine",Waterville,womens cross country,iowa_state
186,Abby Caldwell,"Waverly, Iowa",Waverly-Shell Rock,womens cross country,iowa_state
187,Larkin Chapman,"Muscatine, Iowa",Muscatine,womens cross country,iowa_state
188,Anne Frisbie,"River Falls, Wis.",River Falls,womens cross country,iowa_state
189,Grace Gibbons,"Gilbert, Iowa",Gilbert High School,womens cross country,iowa_state
190,Evelyne Guay,"Oakville, Ontario, Canada",N/A,womens cross country,iowa_state
191,Anna Herriott,"Loveland, Ohio",Ursuline Academy,womens cross country,iowa_state
192,Laurel Hoogensen,"West Des Moines, Iowa",Lincoln,womens cross country,iowa_state
193,Brina Kraft,"Muscatine, Iowa",Muscatine,womens cross country,iowa_state
194,Sarah Leinheiser,"Carmel, Ind.",Carmel,womens cross country,iowa_state
195,Cailie Logue,"Erie, Kan.",Girard,womens cross country,iowa_state
196,Kelly Naumann,"Tempe, Ariz.",Corona Del Sol,womens cross country,iowa_state
197,Megan Schott,"Des Moines, Iowa",Roosevelt High School,womens cross country,iowa_state
198,Jasmine Staebler,"Guttenberg, Iowa",Clayton Ridge High School,womens cross country,iowa_state
199,Erinn Stenman-Fahey,"Ottawa, Ontario",Canterbury High School,womens cross country,iowa_state
200,Amanda Vestri,"Webster, N.Y.",Webster Thomas,womens cross country,iowa_state
201,Jill Whitman,"Columbia, Ill.",Cor Jesu Academy,womens cross country,iowa_state
202,Gwynne Wright,"Packwood, Iowa",Pekin,womens cross country,iowa_state
203,Lachlan Barker,"Willunga, Australia",Tatachilla Lutheran,mens golf,iowa_state
204,Ricky Costello,"Homer Glen, Ill.",Providence Catholic,mens golf,iowa_state
205,Danny Daniels,"Cheshunt, England",The Broxbourne School,mens golf,iowa_state
206,Denzel Ieremia,"Hamilton, New Zealand",N/A,mens golf,iowa_state
207,Tripp Kinney,"Waukee, Iowa",Waukee,mens golf,iowa_state
208,Conner Koberg,"Cedar Rapids, Iowa",Kennedy,mens golf,iowa_state
209,Frank  Lindwall,"Cedar Rapids, Iowa",Washington,mens golf,iowa_state
210,Jorge Utrilla,"Zaragoza, Spain",IES Ortega Y Gasset,mens golf,iowa_state
211,Sam Vincent,"Hamilton, New Zealand",St. Peters Academy,mens golf,iowa_state
212,Celia Barquin Arozamena,"Puente San Miguel, Spain",IES Ortega y Gasset,womens golf,iowa_state
213,Alanna Campbell,"Mt. Maunganui, New Zealand",Aquinas College,womens golf,iowa_state
214,Joy Chou,"Taipei, Taiwan",Nanhu Municipal,womens golf,iowa_state
215,Amelia Grohn,"Coffs Harbour, Australia",Coffs Harbour,womens golf,iowa_state
216,M.J. Kamin,"Cedar Rapids, Iowa",Washington,womens golf,iowa_state
217,Nattapan Siritrai,"Bangkok, Thailand",American School of Bangkok,womens golf,iowa_state
218,Chayanit Wangmahaporn,"Rayong, Thailand",St. Andrews International,womens golf,iowa_state
219,Alex Aaberg,"Coralville, Iowa",Iowa City West,womens swimming,iowa_state
220,Anna Andersen,"Albert Lea, Minn.",Albert Lea,womens swimming,iowa_state
221,Ali Basel,"Johannesburg, South Africa",St. Stithians Girls' College,womens swimming,iowa_state
222,Danica Delaquis,"Winnipeg, Man.",Vincent Massey Collegiate,womens swimming,iowa_state
223,Harper Emswiler,"Missouri Valley, Iowa",Lewis Central,womens swimming,iowa_state
224,Bryn Ericksen,"Liberty Township, Ohio",Ursuline Academy,womens swimming,iowa_state
225,Wyli Erlechman,"Naperville, Ill.",Neuqua Valley,womens swimming,iowa_state
226,Martha Haas,"Minnetonka, Minn.",Minnetonka,womens swimming,iowa_state
227,Evan Hundley,"Eldridge, Iowa",Pleasant Valley,womens swimming,iowa_state
228,Maggie James,"Ames, Iowa",Ames,womens swimming,iowa_state
229,Kat Jones,"Magnolia, Texas",Magnolia West,womens swimming,iowa_state
230,Dana Liva,"Arlington Heights, Ill.",Mt. Prospect,womens swimming,iowa_state
231,Mary Kate Luddy,"Omaha, Neb.",Millard North,womens swimming,iowa_state
232,Silqi Luo,"Xiamen, China",Xiamen No.1,womens swimming,iowa_state
233,Laura Miksch,"Columbus, Neb.",Scotus Central Catholic,womens swimming,iowa_state
234,Katherine Mueller,"Lockridge, Iowa",Fairfield,womens swimming,iowa_state
235,Kami Pankratz,"Overland Park, Kan.",Blue Valley West,womens swimming,iowa_state
236,Rachel Resch,"Neenah, Wis.",Neenah,womens swimming,iowa_state
237,Kasey Roberts,"Saint Michael, Minn.",St. Michael-Albertville,womens swimming,iowa_state
238,Sydney Ronald,"Clinton Township, Mich.",Chippewa Valley,womens swimming,iowa_state
239,Haley Ruegemer,"Plymouth, Minn.",Wayzata,womens swimming,iowa_state
240,Emma Ruehle,"Plymouth, Minn.",Robbinsdale Armstrong,womens swimming,iowa_state
241,Emma Sass,"Dubuque, Iowa",Dubuque Senior,womens swimming,iowa_state
242,Polina Shynkarenko,"Kiev, Ukraine",Olympic College of Ukraine,womens swimming,iowa_state
243,Grace Snyder,"Ames, Iowa",Ames,womens swimming,iowa_state
244,Keely Soellner,"Galva, Iowa",Ridge View,womens swimming,iowa_state
